f_time,lat,lng,intensity,wind,minimum central pressure,type
12hr,25.2,164.7,TS,65,998,forecast
24hr,27.4,162.7,TS,75,995,forecast
36hr,29.1,161,TS,75,995,forecast
48hr,30.8,159.2,TS,75,995,forecast
60hr,32.3,157.2,TS,65,995,forecast
72hr,33.9,154.0,TS,65,995,forecast
96hr,35.4,150.8,TS,65,995,forecast
120hr,41.1,157,TS,65,995,forecast
